event_id,user_id,session_id,event_time,event_date,event_name,duration_seconds,emotion_checkin_label,purchase_amount,is_premium_event,content_id
d2b20c41,USR10439,SES_a8b9c0d1e2,2024-09-11 05:35:00.000000 UTC,2024-09-11,mantra_session,900,blessed,0.0,false,d053
56f2b08c,USR10443,SES_e2f3g4h5i6,2024-09-07 06:05:00.000000 UTC,2024-09-07,mantra_session,600,blessed,0.0,false,fa30
acdb3000,USR10447,SES_i6j7k8l9m0,2024-09-03 05:35:00.000000 UTC,2024-09-03,mantra_session,900,blessed,0.0,false,4df6
d84571a2,USR10451,SES_m0n1o2p3q4,2024-08-30 05:35:00.000000 UTC,2024-08-30,mantra_session,900,blessed,0.0,false,40a7
b5d40a67,USR10455,SES_q4r5s6t7u8,2024-08-26 05:35:00.000000 UTC,2024-08-26,mantra_session,900,blessed,0.0,false,a280
a214204d,USR10356,SES_v5w6x7y8z9,2024-12-03 16:55:00.000000 UTC,2024-12-03,mantra_session,600,protected,0.0,false,6c50
86c77ca6,USR10364,SES_d3e4f5g6h7,2024-11-25 17:35:00.000000 UTC,2024-11-25,mantra_session,600,healed,0.0,false,6889
9343c7d3,USR10381,SES_u0v1w2x3y4,2024-11-08 05:05:00.000000 UTC,2024-11-08,mantra_session,900,protected,0.0,false,40f7
6573ed25,USR10386,SES_z5a6b7c8d9,2024-11-03 18:45:00.000000 UTC,2024-11-03,mantra_session,600,healed,0.0,false,70c3
126fc22a,USR10390,SES_d9e0f1g2h3,2024-10-30 19:50:00.000000 UTC,2024-10-30,mantra_session,600,peaceful,0.0,false,bb78
9764c497,USR10401,SES_o0p1q2r3s4,2024-10-19 06:35:00.000000 UTC,2024-10-19,mantra_session,600,protected,0.0,false,5b93
932e2730,USR10411,SES_y0z1a2b3c4,2024-10-09 05:40:00.000000 UTC,2024-10-09,mantra_session,900,blessed,0.0,false,8733
62f0a532,USR10415,SES_c4d5e6f7g8,2024-10-05 05:40:00.000000 UTC,2024-10-05,mantra_session,900,blessed,0.0,false,2e2b
5ccaaf57,USR10419,SES_g8h9i0j1k2,2024-10-01 05:35:00.000000 UTC,2024-10-01,mantra_session,900,blessed,0.0,false,32d3
738e0310,USR10433,SES_u2v3w4x5y6,2024-09-17 05:40:00.000000 UTC,2024-09-17,mantra_session,900,blessed,0.0,false,974c
590591ea,USR10437,SES_y6z7a8b9c0,2024-09-13 05:35:00.000000 UTC,2024-09-13,mantra_session,900,blessed,0.0,false,7ca8
f22c7afe,USR10441,SES_c0d1e2f3g4,2024-09-09 06:05:00.000000 UTC,2024-09-09,mantra_session,600,blessed,0.0,false,35e3
26bc40ef,USR10445,SES_g4h5i6j7k8,2024-09-05 05:35:00.000000 UTC,2024-09-05,mantra_session,900,blessed,0.0,false,cf0e
755ecf8f,USR10449,SES_k8l9m0n1o2,2024-09-01 05:35:00.000000 UTC,2024-09-01,mantra_session,900,blessed,0.0,false,4ed4
41672612,USR10453,SES_o2p3q4r5s6,2024-08-28 05:35:00.000000 UTC,2024-08-28,mantra_session,900,blessed,0.0,false,707a
6f4017f3,USR10459,SES_u8v9w0x1y2,2024-08-22 05:35:00.000000 UTC,2024-08-22,mantra_session,900,blessed,0.0,false,a1e5
632594a5,USR10342,SES_h1i2j3k4l5,2024-12-17 08:30:00.000000 UTC,2024-12-17,mantra_session,600,peaceful,0.0,false,19f2
00ed0867,USR10349,SES_o8p9q0r1s2,2024-12-10 05:35:00.000000 UTC,2024-12-10,mantra_session,900,grounded,0.0,false,6b2f
4c5895fa,USR10371,SES_k0l1m2n3o4,2024-11-18 05:35:00.000000 UTC,2024-11-18,mantra_session,900,blessed,0.0,false,d9a9
b177c991,USR10395,SES_i4j5k6l7m8,2024-10-25 06:05:00.000000 UTC,2024-10-25,mantra_session,900,,0.0,false,2e5f
b177c991,USR10395,SES_i4j5k6l7m8,2024-10-25 06:05:00.000000 UTC,2024-10-25,mantra_session,900,blessed,0.0,false,2e5f
6b40342d,USR10399,SES_m8n9o0p1q2,2024-10-21 05:05:00.000000 UTC,2024-10-21,mantra_session,900,blessed,0.0,false,8ade
35b44655,USR10403,SES_q2r3s4t5u6,2024-10-17 05:35:00.000000 UTC,2024-10-17,mantra_session,900,blessed,0.0,false,bd28
30c355da,USR10417,SES_e6f7g8h9i0,2024-10-03 06:05:00.000000 UTC,2024-10-03,mantra_session,900,blessed,0.0,false,ac32
b0cc133d,USR10421,SES_i0j1k2l3m4,2024-09-29 06:05:00.000000 UTC,2024-09-29,mantra_session,900,blessed,0.0,false,ad93
e64e282e,USR10423,SES_k2l3m4n5o6,2024-09-27 05:35:00.000000 UTC,2024-09-27,mantra_session,900,blessed,0.0,false,f741
20b0275f,USR10425,SES_m4n5o6p7q8,2024-09-25 05:05:00.000000 UTC,2024-09-25,mantra_session,900,blessed,0.0,false,a1c0
f09bb004,USR10429,SES_q8r9s0t1u2,2024-09-21 05:05:00.000000 UTC,2024-09-21,mantra_session,900,blessed,0.0,false,0727
d35cf0aa,USR10457,SES_s6t7u8v9w0,2024-08-24 05:35:00.000000 UTC,2024-08-24,mantra_session,900,blessed,0.0,false,9308
66c8e387,USR10336,SES_b4c5d6e7f8,2024-12-23 19:05:00.000000 UTC,2024-12-23,breathing_exercise,600,energized,0.0,false,0ee3
69a90699,USR10363,SES_c2d3e4f5g6,2024-11-26 08:05:00.000000 UTC,2024-11-26,breathing_exercise,600,awake,0.0,false,359f
37553db3,USR10407,SES_u6v7w8x9y0,2024-10-13 05:35:00.000000 UTC,2024-10-13,breathing_exercise,300,awake,0.0,false,5476
5ab24bfa,USR10363,SES_c2d3e4f5g6,2024-11-26 08:20:00.000000 UTC,2024-11-26,start_yoga,600,powerful,0.0,false,5294
e160ec5e,USR10332,SES_h6i7j8k9l0,2024-12-24 07:25:00.000000 UTC,2024-12-24,affirmations_view,120,,0.0,false,f527
6a4aad9d,USR10335,SES_w3x4y5z6a7,2024-12-25 06:15:00.000000 UTC,2024-12-25,affirmations_view,180,blessed,0.0,false,49c7
39b4e7c0,USR10338,SES_d7e8f9g0h1,2024-12-21 21:30:00.000000 UTC,2024-12-21,affirmations_view,300,grateful,0.0,false,4af5
bb4879e3,USR10343,SES_i2j3k4l5m6,2024-12-16 15:20:00.000000 UTC,2024-12-16,affirmations_view,240,grateful,0.0,false,7fc1
17bedb83,USR10345,SES_k4l5m6n7o8,2024-12-14 14:00:00.000000 UTC,2024-12-14,affirmations_view,180,positive,0.0,false,35b7
b218784e,USR10372,SES_l1m2n3o4p5,2024-11-17 21:40:00.000000 UTC,2024-11-17,affirmations_view,600,blessed,0.0,false,a569
42ddd84c,USR10374,SES_n3o4p5q6r7,2024-11-15 19:40:00.000000 UTC,2024-11-15,affirmations_view,600,grateful,0.0,false,e0b0
3a39db91,USR10376,SES_p5q6r7s8t9,2024-11-13 12:20:00.000000 UTC,2024-11-13,affirmations_view,300,hopeful,0.0,false,5876
322d5de2,USR10380,SES_t9u0v1w2x3,2024-11-09 17:45:00.000000 UTC,2024-11-09,affirmations_view,300,strong,0.0,false,d175
3662ba3c,USR10382,SES_v1w2x3y4z5,2024-11-07 18:45:00.000000 UTC,2024-11-07,affirmations_view,300,peaceful,0.0,false,0590
dde95167,USR10385,SES_y4z5a6b7c8,2024-11-04 12:35:00.000000 UTC,2024-11-04,affirmations_view,300,positive,0.0,false,f65e
8c673e43,USR10388,SES_b7c8d9e0f1,2024-11-01 20:50:00.000000 UTC,2024-11-01,affirmations_view,300,peaceful,0.0,false,b210
dcd2d614,USR10392,SES_f1g2h3i4j5,2024-10-28 20:50:00.000000 UTC,2024-10-28,affirmations_view,600,blessed,0.0,false,878a
163aa54f,USR10394,SES_h3i4j5k6l7,2024-10-26 18:50:00.000000 UTC,2024-10-26,affirmations_view,300,hopeful,0.0,false,4cc2
3c1a59e6,USR10402,SES_p1q2r3s4t5,2024-10-18 20:15:00.000000 UTC,2024-10-18,affirmations_view,600,blessed,0.0,false,7d38
763ff44e,USR10406,SES_t5u6v7w8x9,2024-10-14 20:15:00.000000 UTC,2024-10-14,affirmations_view,600,hopeful,0.0,false,affa
bd2e45bc,USR10408,SES_v7w8x9y0z1,2024-10-12 19:15:00.000000 UTC,2024-10-12,affirmations_view,600,graceful,0.0,false,aa4d
0be84691,USR10412,SES_z1a2b3c4d5,2024-10-08 18:45:00.000000 UTC,2024-10-08,affirmations_view,600,hopeful,0.0,false,e317
7c153d0e,USR10416,SES_d5e6f7g8h9,2024-10-04 18:45:00.000000 UTC,2024-10-04,affirmations_view,600,blessed,0.0,false,2e41
e6c7ddce,USR10418,SES_f7g8h9i0j1,2024-10-02 20:15:00.000000 UTC,2024-10-02,affirmations_view,600,hopeful,0.0,false,d10d
ce45dff3,USR10422,SES_j1k2l3m4n5,2024-09-28 20:15:00.000000 UTC,2024-09-28,affirmations_view,600,peaceful,0.0,false,8012
d69a183e,USR10424,SES_l3m4n5o6p7,2024-09-26 19:15:00.000000 UTC,2024-09-26,affirmations_view,600,graceful,0.0,false,aa4d
9e8bffce,USR10430,SES_r9s0t1u2v3,2024-09-20 20:15:00.000000 UTC,2024-09-20,affirmations_view,600,serene,0.0,false,62ff
dd0f74c7,USR10432,SES_t1u2v3w4x5,2024-09-18 20:15:00.000000 UTC,2024-09-18,affirmations_view,600,bright,0.0,false,3409
e37bcb4c,USR10434,SES_v3w4x5y6z7,2024-09-16 20:15:00.000000 UTC,2024-09-16,affirmations_view,600,hopeful,0.0,false,1e9f
45cd0e13,USR10436,SES_x5y6z7a8b9,2024-09-14 20:15:00.000000 UTC,2024-09-14,affirmations_view,600,serene,0.0,false,0528
c2992e26,USR10438,SES_z7a8b9c0d1,2024-09-12 20:15:00.000000 UTC,2024-09-12,affirmations_view,600,serene,0.0,false,80b7
5e689e07,USR10440,SES_b9c0d1e2f3,2024-09-10 20:15:00.000000 UTC,2024-09-10,affirmations_view,600,strong,0.0,false,7610
4ae09a60,USR10444,SES_f3g4h5i6j7,2024-09-06 20:15:00.000000 UTC,2024-09-06,affirmations_view,600,peaceful,0.0,false,bf64
81127cd2,USR10446,SES_h5i6j7k8l9,2024-09-04 20:15:00.000000 UTC,2024-09-04,affirmations_view,600,peaceful,0.0,false,354a
0ceb9f52,USR10448,SES_j7k8l9m0n1,2024-09-02 20:15:00.000000 UTC,2024-09-02,affirmations_view,600,peaceful,0.0,false,c6ea
bc7dd49a,USR10450,SES_l9m0n1o2p3,2024-08-31 20:15:00.000000 UTC,2024-08-31,affirmations_view,600,hopeful,0.0,false,6eae
9c1af522,USR10452,SES_n1o2p3q4r5,2024-08-29 20:15:00.000000 UTC,2024-08-29,affirmations_view,600,strong,0.0,false,70aa
d0c58c43,USR10454,SES_p3q4r5s6t7,2024-08-27 20:15:00.000000 UTC,2024-08-27,affirmations_view,600,serene,0.0,false,b9ae
205abd1a,USR10456,SES_r5s6t7u8v9,2024-08-25 20:15:00.000000 UTC,2024-08-25,affirmations_view,600,hopeful,0.0,false,affa
4f3aaa83,USR10458,SES_t7u8v9w0x1,2024-08-23 20:15:00.000000 UTC,2024-08-23,affirmations_view,600,serene,0.0,false,9082
bbe9c659,USR10341,SES_g0h1i2j3k4,2024-12-18 15:35:00.000000 UTC,2024-12-18,psychological_test_start,0,anxious,0.0,false,ceda
a49bafba,USR10341,SES_g0h1i2j3k4,2024-12-18 15:45:00.000000 UTC,2024-12-18,psychological_test_end,600,aware,0.0,false,ceda
78702d6c,USR10007,SES_e1f2g3h4i5,2024-11-13 07:05:00.000000 UTC,2024-11-13,natal_chart_view,1800,curious,9.99,true,e68d
b43b78b8,USR10007,SES_e1f2g3h4i5,2024-11-13 07:35:00.000000 UTC,2024-11-13,compatibility_check,600,excited,5.99,true,c9f6
b2fd7cd1,USR10335,SES_w3x4y5z6a7,2024-12-25 05:50:00.000000 UTC,2024-12-25,start_yoga,1200,energized,0.0,false,d461
8145252f,USR10349,SES_o8p9q0r1s2,2024-12-10 05:55:00.000000 UTC,2024-12-10,start_yoga,900,awake,0.0,false,8752
bfc1defd,USR10352,SES_r1s2t3u4v5,2024-12-07 17:15:00.000000 UTC,2024-12-07,start_yoga,1500,cozy,0.0,false,30a6
7c93e29c,USR10400,SES_n9o0p1q2r3,2024-10-20 19:15:00.000000 UTC,2024-10-20,start_yoga,900,relaxed,0.0,false,7bd4
a9800e9f,USR10332,SES_h6i7j8k9l0,2024-12-24 07:20:00.000000 UTC,2024-12-24,breathing_exercise,300,,0.0,false,473e
133268ca,USR10347,SES_m6n7o8p9q0,2024-12-12 07:05:00.000000 UTC,2024-12-12,breathing_exercise,600,focused,0.0,false,5dd1
bcd4163c,USR10351,SES_q0r1s2t3u4,2024-12-08 12:25:00.000000 UTC,2024-12-08,breathing_exercise,300,focused,0.0,false,20c9
9ca56eeb,USR10361,SES_a0b1c2d3e4,2024-11-28 09:30:00.000000 UTC,2024-11-28,breathing_exercise,300,centered,0.0,false,bf44
6e82df16,USR10369,SES_i8j9k0l1m2,2024-11-20 07:05:00.000000 UTC,2024-11-20,breathing_exercise,600,awake,0.0,false,2f18
0ab908df,USR10377,SES_q6r7s8t9u0,2024-11-12 05:25:00.000000 UTC,2024-11-12,breathing_exercise,300,calm,0.0,false,c8e7
de25cb9a,USR10381,SES_u0v1w2x3y4,2024-11-08 05:25:00.000000 UTC,2024-11-08,breathing_exercise,300,calm,0.0,false,5ac6
0f5d2a36,USR10383,SES_w2x3y4z5a6,2024-11-06 06:30:00.000000 UTC,2024-11-06,breathing_exercise,300,centered,0.0,false,3f56
937722e1,USR10393,SES_g2h3i4j5k6,2024-10-27 07:30:00.000000 UTC,2024-10-27,breathing_exercise,300,calm,0.0,false,df1a
140be8b5,USR10399,SES_m8n9o0p1q2,2024-10-21 05:20:00.000000 UTC,2024-10-21,breathing_exercise,300,calm,0.0,false,a457
3157a1f5,USR10403,SES_q2r3s4t5u6,2024-10-17 05:50:00.000000 UTC,2024-10-17,breathing_exercise,300,calm,0.0,false,7d6c
027e5522,USR10405,SES_s4t5u6v7w8,2024-10-15 06:25:00.000000 UTC,2024-10-15,breathing_exercise,300,calm,0.0,false,cae7
15595c7e,USR10411,SES_y0z1a2b3c4,2024-10-09 06:00:00.000000 UTC,2024-10-09,breathing_exercise,300,centered,0.0,false,642c
73ac51b0,USR10413,SES_a2b3c4d5e6,2024-10-07 06:25:00.000000 UTC,2024-10-07,breathing_exercise,300,calm,0.0,false,1e92
39d25e69,USR10415,SES_c4d5e6f7g8,2024-10-05 06:05:00.000000 UTC,2024-10-05,breathing_exercise,300,calm,0.0,false,1912
875bf76d,USR10417,SES_e6f7g8h9i0,2024-10-03 06:25:00.000000 UTC,2024-10-03,breathing_exercise,300,calm,0.0,false,2fd6
5b035b2c,USR10419,SES_g8h9i0j1k2,2024-10-01 05:55:00.000000 UTC,2024-10-01,breathing_exercise,300,calm,0.0,false,37d4
fad1fed2,USR10421,SES_i0j1k2l3m4,2024-09-29 06:25:00.000000 UTC,2024-09-29,breathing_exercise,300,calm,0.0,false,736f
f9f72895,USR10423,SES_k2l3m4n5o6,2024-09-27 05:55:00.000000 UTC,2024-09-27,breathing_exercise,300,calm,0.0,false,b89c
234f47b9,USR10425,SES_m4n5o6p7q8,2024-09-25 05:25:00.000000 UTC,2024-09-25,breathing_exercise,300,calm,0.0,false,0d0a
a6faa210,USR10429,SES_q8r9s0t1u2,2024-09-21 05:25:00.000000 UTC,2024-09-21,breathing_exercise,300,calm,0.0,false,fa0b
6263c75c,USR10431,SES_s0t1u2v3w4,2024-09-19 05:55:00.000000 UTC,2024-09-19,breathing_exercise,300,calm,0.0,false,2161
830502fb,USR10433,SES_u2v3w4x5y6,2024-09-17 06:05:00.000000 UTC,2024-09-17,breathing_exercise,300,calm,0.0,false,ab35
d225c004,USR10435,SES_w4x5y6z7a8,2024-09-15 05:55:00.000000 UTC,2024-09-15,breathing_exercise,300,calm,0.0,false,59ce
2f5b048f,USR10437,SES_y6z7a8b9c0,2024-09-13 05:55:00.000000 UTC,2024-09-13,breathing_exercise,300,calm,0.0,false,8787
345cb604,USR10439,SES_a8b9c0d1e2,2024-09-11 05:55:00.000000 UTC,2024-09-11,breathing_exercise,300,calm,0.0,false,ce26
47e5d7f8,USR10445,SES_g4h5i6j7k8,2024-09-05 05:55:00.000000 UTC,2024-09-05,breathing_exercise,300,calm,0.0,false,0353
30e9036e,USR10447,SES_i6j7k8l9m0,2024-09-03 05:55:00.000000 UTC,2024-09-03,breathing_exercise,300,calm,0.0,false,64fc
e68a2f92,USR10449,SES_k8l9m0n1o2,2024-09-01 05:55:00.000000 UTC,2024-09-01,breathing_exercise,300,calm,0.0,false,8efa
378f81cc,USR10451,SES_m0n1o2p3q4,2024-08-30 05:55:00.000000 UTC,2024-08-30,breathing_exercise,300,calm,0.0,false,32bd
7ec16af3,USR10453,SES_o2p3q4r5s6,2024-08-28 05:55:00.000000 UTC,2024-08-28,breathing_exercise,300,calm,0.0,false,9670
1b77ed64,USR10455,SES_q4r5s6t7u8,2024-08-26 05:55:00.000000 UTC,2024-08-26,breathing_exercise,300,calm,0.0,false,3062
6b448c61,USR10457,SES_s6t7u8v9w0,2024-08-24 05:55:00.000000 UTC,2024-08-24,breathing_exercise,300,calm,0.0,false,536d
c7f785e2,USR10459,SES_u8v9w0x1y2,2024-08-22 05:55:00.000000 UTC,2024-08-22,breathing_exercise,300,calm,0.0,false,c128
1ec1126c,USR10343,SES_i2j3k4l5m6,2024-12-16 14:45:00.000000 UTC,2024-12-16,tarot_reading,1200,reflective,0.0,false,adbd
0e3f9d8c,USR10357,SES_w6x7y8z9a0,2024-12-02 15:05:00.000000 UTC,2024-12-02,tarot_reading,900,wise,0.0,false,2f1b
b1913bd7,USR10336,SES_b4c5d6e7f8,2024-12-23 19:45:00.000000 UTC,2024-12-24,compatibility_check,450,curious,0.0,false,97cc
1e37261c,USR10359,SES_y8z9a0b1c2,2024-11-30 10:50:00.000000 UTC,2024-11-30,astrology_feature_used,300,curious,0.0,false,f6c8
14d28ea3,USR10348,SES_n7o8p9q0r1,2024-12-11 20:50:00.000000 UTC,2024-12-11,sound_healing,1200,dreamy,0.0,false,53a0
8183aad4,USR10354,SES_t3u4v5w6x7,2024-12-05 20:35:00.000000 UTC,2024-12-05,sound_healing,900,relaxed,0.0,false,91a0
5ce6b633,USR10378,SES_r7s8t9u0v1,2024-11-11 18:40:00.000000 UTC,2024-11-11,sound_healing,900,immersed,0.0,false,b98b
148801ad,USR10404,SES_r3s4t5u6v7,2024-10-16 18:45:00.000000 UTC,2024-10-16,sound_healing,900,immersed,0.0,false,cc97
c4da2994,USR10410,SES_x9y0z1a2b3,2024-10-10 20:50:00.000000 UTC,2024-10-10,sound_healing,600,rhythmic,0.0,false,430b
8e05a92b,USR10414,SES_b3c4d5e6f7,2024-10-06 20:15:00.000000 UTC,2024-10-06,sound_healing,600,rhythmic,0.0,false,5166
b8686f48,USR10338,SES_d7e8f9g0h1,2024-12-21 20:35:00.000000 UTC,2024-12-21,start_yoga,1800,tired,0.0,false,98a7
7fa6e6c7,USR10342,SES_h1i2j3k4l5,2024-12-17 08:05:00.000000 UTC,2024-12-17,start_yoga,1200,energized,0.0,false,c9c6
ffbba01f,USR10345,SES_k4l5m6n7o8,2024-12-14 13:15:00.000000 UTC,2024-12-14,start_yoga,1500,strong,0.0,false,d092
eec37408,USR10356,SES_v5w6x7y8z9,2024-12-03 16:15:00.000000 UTC,2024-12-03,start_yoga,1800,strong,0.0,false,0d2a
29e4f88a,USR10367,SES_g6h7i8j9k0,2024-11-22 06:55:00.000000 UTC,2024-11-22,start_yoga,900,strong,0.0,false,311c
a89c50b6,USR10371,SES_k0l1m2n3o4,2024-11-18 05:55:00.000000 UTC,2024-11-18,start_yoga,900,flowing,0.0,false,a11a
a49a577f,USR10395,SES_i4j5k6l7m8,2024-10-25 06:25:00.000000 UTC,2024-10-25,start_yoga,300,strong,0.0,false,f1e5
749830d9,USR10346,SES_l5m6n7o8p9,2024-12-13 18:35:00.000000 UTC,2024-12-13,journaling_prompt,300,reflective,0.0,false,e43b
6b4e7c37,USR10360,SES_z9a0b1c2d3,2024-11-29 20:35:00.000000 UTC,2024-11-29,journaling_prompt,900,thankful,0.0,false,dd1d
bb59c806,USR10013,SES_i1j2k3l4m5,2024-11-07 16:50:00.000000 UTC,2024-11-07,mantra_session,1800,,0.0,false,c8c1
2de25033,USR10068,SES_y2z3a4b5c6,2024-09-13 05:20:00.000000 UTC,2024-09-13,mantra_session,1800,protected,0.0,false,c8c1
c505ae0c,USR10080,SES_g4h5i6j7k8,2024-09-01 17:40:00.000000 UTC,2024-09-01,mantra_session,1500,protected,0.0,false,c8c1
f08617c0,USR10121,SES_a5b6c7d8e9,2024-07-22 05:40:00.000000 UTC,2024-07-22,mantra_session,1500,blessed,0.0,false,c8c1
709445b7,USR10244,SES_x8y9z0a1b2,2024-03-21 17:40:00.000000 UTC,2024-03-21,mantra_session,1800,protected,0.0,false,c8c1
d1da8831,USR10001,SES_a1b2c3d4e5,2024-11-19 08:16:45.000000 UTC,2024-11-19,play_meditation,1200,focused,0.0,false,60af
a2466c82,USR10001,SES_a1b2c3d4e5,2024-11-19 08:40:32.000000 UTC,2024-11-19,play_meditation,1800,calm,0.0,false,0cab
8c2f480a,USR10006,SES_z6a7b8c9d0,2024-11-14 12:45:00.000000 UTC,2024-11-14,play_meditation,1500,anxious,0.0,false,9ab0
c0496986,USR10010,SES_t6u7v8w9x0,2024-11-10 19:05:00.000000 UTC,2024-11-10,play_meditation,600,calm,0.0,false,bc42
6d226499,USR10012,SES_d6e7f8g9h0,2024-11-08 05:35:00.000000 UTC,2024-11-08,play_meditation,1500,focused,0.0,false,a2d8
8f334538,USR10018,SES_h6i7j8k9l0,2024-11-02 06:05:00.000000 UTC,2024-11-02,play_meditation,1800,focused,0.0,false,1139
6acb34a0,USR10022,SES_b6c7d8e9f0,2024-10-29 13:10:00.000000 UTC,2024-10-29,play_meditation,1200,focused,0.0,false,7e8e
663df467,USR10024,SES_l6m7n8o9p0,2024-10-27 05:05:00.000000 UTC,2024-10-27,play_meditation,1500,inspired,0.0,false,de49
6e00c8ee,USR10029,SES_l2m3n4o5p6,2024-10-22 08:10:00.000000 UTC,2024-10-22,play_meditation,900,focused,0.0,false,1a6f
f787a81a,USR10031,SES_v2w3x4y5z6,2024-10-20 14:10:00.000000 UTC,2024-10-20,play_meditation,3600,balanced,0.0,false,6cec
48403635,USR10032,SES_a7b8c9d0e1,2024-10-19 10:40:00.000000 UTC,2024-10-19,play_meditation,1200,stressed,0.0,false,bf9d
e5cff82d,USR10036,SES_u7v8w9x0y1,2024-10-15 05:35:00.000000 UTC,2024-10-15,play_meditation,1500,peaceful,0.0,false,f33b
4fcdb73c,USR10040,SES_o5p6q7r8s9,2024-10-11 07:35:00.000000 UTC,2024-10-11,play_meditation,1500,alert,0.0,false,62aa
b61f1162,USR10041,SES_t6u7v8w9x0,2024-10-10 16:10:00.000000 UTC,2024-10-10,play_meditation,1800,stressed,0.0,false,02c6
c50d9735,USR10044,SES_i3j4k5l6m7,2024-10-07 20:10:00.000000 UTC,2024-10-07,play_meditation,1200,grateful,0.0,false,eeb7
f54755d9,USR10045,SES_n4o5p6q7r8,2024-10-06 15:15:00.000000 UTC,2024-10-06,play_meditation,2700,relaxed,0.0,false,c07b
c82a6617,USR10050,SES_m9n0o1p2q3,2024-10-01 20:35:00.000000 UTC,2024-10-01,play_meditation,1500,calm,0.0,false,2c18
a665b070,USR10053,SES_b1c2d3e4f5,2024-09-28 19:10:00.000000 UTC,2024-09-28,play_meditation,1200,relaxed,0.0,false,9950
84b23fcb,USR10060,SES_k4l5m6n7o8,2024-09-21 06:40:00.000000 UTC,2024-09-21,play_meditation,1500,focused,0.0,false,e2ec
36e8f610,USR10065,SES_j7k8l9m0n1,2024-09-16 20:40:00.000000 UTC,2024-09-16,play_meditation,1200,relaxed,0.0,false,0eca
10213afe,USR10066,SES_o8p9q0r1s2,2024-09-15 10:15:00.000000 UTC,2024-09-15,play_meditation,900,peaceful,0.0,false,96ce
24a08d7f,USR10069,SES_d3e4f5g6h7,2024-09-12 19:40:00.000000 UTC,2024-09-12,play_meditation,1200,calm,0.0,false,8c59
5638116f,USR10071,SES_n5o6p7q8r9,2024-09-10 09:15:00.000000 UTC,2024-09-10,play_meditation,900,focused,0.0,false,86aa
bcd69679,USR10073,SES_x7y8z9a0b1,2024-09-08 20:15:00.000000 UTC,2024-09-08,play_meditation,900,reflective,0.0,false,342c
0ead6c3e,USR10076,SES_m0n1o2p3q4,2024-09-05 06:15:00.000000 UTC,2024-09-05,play_meditation,900,focused,0.0,false,bb47
56222b3a,USR10077,SES_r1s2t3u4v5,2024-09-04 17:10:00.000000 UTC,2024-09-04,play_meditation,1200,relieved,0.0,false,27a8
