event_id,psychology_test_name,tarot_spread_type,astrology_feature_used,breathing_technique,sound_healing_instrument,mantra_type,yoga_level
193d25af,,,,,,,
b6271621,,,,,,,
0ec47afc,,,,,,,
dd74288c,,,,,,,
6f13f83e,,,,,,,
16145a1a,,,,,,,
3ada06d0,,,,,,,
406d25e5,,,,,,,
05be1ccd,Hump Day Release,,,,,,
62adf500,,,,,,,
bd795fc9,,,,,,,
62434f58,,,,,,,
c0c70324,,,,,,,
c42d46fa,,,,,,,
118944dc,,,,,,,
ad186580,,,,,,,
a0c0d555,,,,,,,
a22de7f9,,,,,,,
512c4d61,,,,,,,
d3fa6688,,,,,,,
caa65e5a,,,,,,,
240eee25,,,,,,,
1f3eb46b,,,,,,,
0d057a9e,,,,,,,
0e36baed,,,,,,,
99e69052,,,,,,,
74ec3f83,,,,,,,
8e9197be,,,,,,,
aaaa5559,,,,,,,
6595e3de,,,,,,,
47a5609d,,,,,,,
bb91db65,,,,,,,
fdabbe96,,,,,,,
777034fe,,,,,,,
e9f164e5,,,,,,,
f7c52cfa,,,,,,,
914a5c3c,,,,,,,
12d7c849,,,,,,,
d5da0dc5,,,,,,,
f28e407b,,,,,,,
f5c2e0bc,,,,,,,
409a3277,,,,,,,
795f1400,,,,,,,
5a62c785,,,,,,,
780e8404,,,,,,,
4a2af055,,,,,,,
76f5f4eb,,,,,,,
2cbede34,,,,,,,
6280410d,,,,,,,
e17b8cf9,,,,,,,
8aae49ce,,,,,,,
0d3e218c,,,,,,,
2195f449,,,,,,,
ac5274ac,,,,,,,
0176a1ee,,,,,,,
f4dabb3a,,,,,,,
10751ad4,,,,,,,
427f2aa5,,,,,,,
0b606b16,,,,,,,
6d978c77,,,,,,,
34d1efa3,,,,,,,
1f12e2a6,,,,,,,
bfd183c1,,,,,,,
638d5089,,,,,,,
e3e5905b,,,,,,,
9222fa76,,,,,,,
4b9297cc,,,,,,,
384da460,,,,,,,
999f8ea7,,,,,,,
ef264583,,,,,,,
51c87d5f,,,,,,,
cc355831,,,,,,,
bf9ea5b0,,,,,,,
9b777d3f,,,,,,,
7cf8719b,,,,,,,
f070f468,,,,,,,
a1a9b0d4,,,,,,,
7214af7a,,,,,,,
ea2722d0,,,,,,,
51f89878,,,,,,,
5f036ec1,,,,,,,
02e30827,,,,,,,
f652b2cf,,,,,,,
c7172d0f,,,,,,,
991c2184,,,,,,,
d986f8a8,,,,,,,
8c5f3f0c,,,,,,,
eef30ea9,,,,,,,
54cac741,,,,,,,
2681153b,,,,,,,
bee53f68,,,,,,,
077d010c,,,,,,,
078aca63,,,,,,,
408f3971,,,,,,,
b32a69ee,,,,,,,
cc4f30a7,,,,,,,
9bd6a464,,,,,,,
c2c8f4ad,,,,,,,
5a71b814,,,,,,,
13ce7db3,,,,,,,
0e96ef11,,,,,,,
8bce3e28,,,,,,,
70e51378,,,,,,,
81d3e93d,,,,,,,
a3c17946,,,,,,,
dc01a268,,,,,,,
b4020c29,,,,,,,
00ca3656,,,,,,,
8bb91f0f,,,,,,,
7095ae0a,,,,,,,
055c4b49,,,,,,,
d5f2d1d3,,,,,,,
c0a183ed,,,,,,,
6c0078bd,,,,,,,
b21fbdf8,,,,,,,
15bd917a,,,,,,,
5ef1bda8,,,,,,,
4d80e50c,,,,,,,
08c66ce5,,,,,,,
90e39960,,,,,,,
594c1d3a,,,,,,,
0bd1866c,,,,,,,
a3e08515,,,,,,,
cd91c3d0,,,,,,,
a610fa77,,,,,,,
657ae37a,,,,,,,
936fd45a,,,,,,,
091cd069,,,,,,,
3f6a0941,,,,,,,
8f9b4f77,,,,,,,
408c5e73,,,,,,,
2471421e,,,,,,,
2b5bee3c,,,,,,,
6b6fbedd,,,,,,,
bc358277,,,,,,,
08c3852f,,,,,,,
e1385c72,,,,,,,
514da7f8,,,,,,,
a1b4f16f,,,,,,,
3a4ba2bc,,,,,,,
c21b28a6,,,,,,,
a1d81d57,,,,,,,
acf9123d,,,,,,,
ecfa7869,,,,,,,
162ec881,,,,,,,
ab396be3,,,,,,,
2349fe86,,,,,,,
a219e66d,,,,,,,
5f49ce85,,,,,,,
78ecd7eb,,,,,,,
ca546080,,,,,,,
80a1f190,,,,,,,
85a3429e,,,,,,,
aa12cbab,,,,,,,
62a76d81,,,,,,,
010df8b6,,,,,,,
26d25473,,,,,,,
24a08d7f,,,,,,,
224f4549,,,,,,,
1d3673e6,,,,,,,
3f2ee784,,,,,,,
6201f065,,,,,,,
0f0285ae,,,,,,,
602816d0,,,,,,,
29276591,,,,,,,
33b16da5,,,,,,,
aeac88b8,,,,,,,
f92392ae,,,,,,,
bf52ff75,,,,,,,
0a85ee98,,,,,,,
8c82eceb,,,natal_chart,,,,
6937c0a2,,,natal_chart,,,,
5d9f5aa4,,,,,,,
40dba276,,,,,,,
84b452a3,Anxiety Level Assessment,,,,,,
1eec8c50,Anxiety Level Assessment,,,,,,
d3d7ebd5,Stress Assessment Test,,,,,,
3f71d248,Stress Assessment Test,,,,,,
3bca3c5a,Mindfulness Assessment,,,,,,
613c1235,Mindfulness Assessment,,,,,,
197d8ddc,Emotional Balance Check,,,,,,
c6e124f2,Emotional Balance Check,,,,,,
c823717d,,,,,,,singing_bowl
3f560c6e,,,,,,,singing_bowl
a901af64,,,,,,,singing_bowl
17b5aa82,,,,,,,singing_bowl
3d144c1b,,,,,,,singing_bowl
90e5993e,,,,,,,singing_bowl
4af23ee4,,,,,,,singing_bowl
8470076e,,,,,,,
aba57f04,,,,,,,
d28f9105,,,,,,,
bf4ee742,,,,,,,
b5c32263,,,,,,,
a66080ce,,,,,,,
a6474c4e,,,,,,,
1d31077c,,,,,,,
bc3ce1fe,,,,,,,
bf297ec1,,,,,,,
66242576,,,,,,,
1e21a1fd,,,,,,,
a176eaca,,,,,,,
a3790431,,,,,,,
8a836b8f,,,,,,,
a4705e6f,,,,,,,
23e20905,,,,,,,
acbfa56f,,,,,,,
e3196444,,,,,,,
98b165d1,,,,,,,
fc61d7e1,,,,,,,
3d5b1201,,,,,,,
27ef430c,,,,,,,
3fbdab97,,,,,,,
b2f3bd9a,,,,,,,
66b9d7ea,,,,,,,
223b75a7,,,,,,,
1c2e605a,,,,,,,
8b870233,,,,,,,
c5708543,,,,,,,
a7a00072,,,,,,,
c4a6029b,,,,,,,
d9b11ffd,,,,,,,
0150db19,,,,,calm,singing_bowl,
053eb7fe,,,,,calm,crystal_bowls,
755aba22,,,,,gong,,
d14523f1,,,,,tuning_fork,,
33d1e60f,,,,,gong,,
521b719c,,,,,singing_bowl,,
ddf1d5d2,,,,,singing_bowl,,
7b28acc1,,,,,singing_bowl,,
810ec5a5,,,,,singing_bowl,,
a20d6017,,,,,,,
fca34c6f,,,,,,,
54be0b3b,,,,,,,
ae99a67b,,,,,,,
41a487ac,,,,,,,
c71638da,,,,,,,
24b57608,,,,,,,
7d746637,,,,,,,
9fe37d4a,,,,,,,
7b7c5a22,,,,,,,
db040ee5,Stress Level Quiz,,,,,,
2355e9ae,Stress Level Quiz,,,,,,
e2839d9f,,,,,,,
e43e7bdf,,,,,,,
0ea2b6a5,,,,,,,
af914f69,,,,,,,
d13100b7,,relationship_spread,,,,,
520dec29,,three_cards,,,,,
876bb7f1,,three_cards,,,,,
8865cc84,,relationship_spread,,,,,
ef12e3ae,,three_cards,,,,,
56f1c7cc,,three_cards,,,,,
e3af7e75,,celtic_cross,,,,,
324d5186,,relationship_spread,,,,,
3390c99d,,celtic_cross,,,,,
aeaa0ced,,relationship_spread,,,,,
ce8160bd,,three_cards,,,,,
ec1f72bf,,three_cards,,,,,
1f978ce5,,three_cards,,,,,
f556bb9d,,,transit_chart,,,,
4d30d923,,,transit_chart,,,,
e4eb1108,,,,,,,tuning_fork
b788e93f,,,,,,,tuning_fork
3f4be7ee,,,,,,,tuning_fork
92ee14db,,,,,,,tuning_fork
a474f3b6,,,,,,,tuning_fork
06084d89,,,,,,,
62ee8bee,,,,,focused,,intermediate
544d80d9,,,,,,,advanced
82a068d1,,,,,,,beginner
49d920fb,,,,,,,intermediate
5202e220,,,,,,,beginner
10744cdf,,,,,,,beginner
053f22a7,,,,,,,intermediate
48f71c70,,,,,,,intermediate
aa944ad2,,,,,,,intermediate
dee4c848,,,,,,,intermediate
c9329102,,,,,,,advanced
816860cf,,,,,,,intermediate
d7bcf076,,,,,,,intermediate
118f47ad,,,,,,,beginner
7bc3c268,,,,,,,intermediate
39ab79ed,,,,,,,beginner
e9ccd12a,,,,,,,advanced
8a889abc,,,,,,,beginner
66d798ce,,,,,,,beginner
fabcc04a,,,,,,,intermediate
84bacb8a,,,,,,,intermediate
f9454704,,,,,,,intermediate
90f10376,,,,,,,advanced
b0d48e1c,,,,,,,intermediate
5915bd93,,,,,,,intermediate
8553e5a4,,,,,,,intermediate
b76d6b1f,,,,,,,intermediate
c6aeb684,,,,,,,beginner
7f35a361,,,,,,,beginner
4125aa5e,,,,,,,intermediate
2614d3a4,,,,,,,intermediate
cf52c791,,,,,,,intermediate
7bbb3563,,,,,,,intermediate
047b2937,,,,,,,intermediate
53d59a63,,,,,,,intermediate
1bf64706,,,,,,,intermediate
e1eedc93,,,,,,,intermediate
e4bd1865,,,,,,,intermediate
eaae0c8e,,,,,,,intermediate
0d33de94,,,,,,,intermediate
762eaad6,,,,,,,intermediate
9e6151de,,,,,,,intermediate
8520f1cf,,,,,,,
76639d1e,,,,,,,
9eb35ed1,,,,,,,
b792c926,,,,,,,
4701fd33,,,,,,,
31077531,,,,,,,
63858eaa,,,,,,,
9f93fc0c,,,,,,,
b4821536,,,,,,,
06e123bf,,,,,,,
68ff2e80,,,,,,,
6cb6d1a7,,,,,,,
18b1d18e,,,,,,,
e6a58ee9,,,,,,,
711e7990,,,,,,,
90e02a26,,,,,,,
323686c1,,,,,,,
d8ee9ffc,,,,,,,
b9fad74a,,,,,,,
a922dee5,,,,,,,
b599a852,,,,,,,
fdbfbaf4,,,,,,,
0cd5552b,,,,,,,
8b650343,,,,,,,
af9a4893,,,,,,,
b6a5e63c,,,,,,,
78b9a691,,,,,,,
2ea850b2,,,,,,,
b123c850,,,,,,,
c4743af0,,,,,,,
6a16461b,,,,,,,
911592dd,,,,,,,
68d62ba5,,,,,,,
5686824a,,,,,,,
3f3c45de,,,,,,,
77755b54,,,,,,,
31553e8c,,,,,,,
96e226db,,,,,,,
b244b212,,,,,,,
b6ba92e0,,,,,,,
68663f83,,,,,,,
ff636ce3,,,,,,,
eaf6dc21,,,,,,,
cfbeee12,,,,,,,
537c3cf6,,,,,,,
f667eeb4,,,,,,,
07a6550b,,,,,,,
8171049a,,,,,,,
5de2b1d6,,,,,,,
cc781297,,,,,,,
12631bc8,,,,,,,
2f4d3bcd,,,,,,,
bf237e4f,,,,,,,
1b0135ba,,,,,,,
e61de9f9,,,,,,,
66572c2b,,,,,,,
0f8c0429,,,,,,,
1baf1ed6,,,,,,,
f33d5be8,,,,,,,
30188129,,,,,,,
f83b844d,,,,,,,
5a864ed3,,,,,,,
27d615b6,,,,,,,
37311a2c,,,,,,,
94c36527,,,,,,,
3bcde88d,,,,,,,
ff8e501b,,,,,,,
198cbae1,,,,,,,
3faa82b9,,,,,,,
b7de3d99,,,,,,,
b89118e7,,,,,,,
d0b6893b,,,,,,,
8f8864d4,,,,,,,
0ab730c2,,,,,,,
a0e9ba70,,,,,,,
bf75b40c,,,,,,,
cd12b25c,,,,,,,
5a3f6328,,,,,,,
bbbfbcd6,,,,,,,
52002782,,,,,,,
5fa6e1b5,,,,,,,
30fe6565,,,,,,,
038865de,,,,,,,
654d5f10,,,,,,,
f9930b85,,,,,,,
d68a401b,,,,,,,
aae60b0e,,,,,,,
00671b51,,,,,,,
bfe410bc,,,,,,,
ce41061e,,,,,,,
b78ac02c,,,,,,,
95b5e94a,,,,,,,
c8f59cea,,,,,,,
31eff790,,,,,,,
4c2b5299,,,,,,,
059ef69b,,,,,,,
d46176a4,,,,,,,
3ed9ea9d,,,,,,,
7afaeb61,,,,,,,
97f7fe8a,,,,,,,
32c4b5e5,,,,,,,
e4aa4a4b,,,,,,,
854e0340,,,,,,,
e7b6400b,,,,,,,
d5c38bff,,,,,,,
62a982ec,,,,,,,
cb5ba342,,,,,,,
fe55ad15,,,,,,,
d05e43e1,,,,,,,
18dbf300,,,,,,,
11fb9a50,,,,,,,
1c20995c,,,,,,,
276e35de,,,,,,,
791f6d61,,,,,,,
922b4a40,,,,,,,
ba4d9961,,,,,,,
71680a20,,,,,,,
b9e4fdff,,,,,,,
a28b422c,,,,,,,
a58d320f,,,,,,,
be72bbb7,,,,,,,
23f94a29,,,,,,,
491aefbc,,,,,,,
8d280222,,,,,,,
45cf81df,,,,,,,
5794315c,,,,,,,
7ee805a3,,,,,,,
2a160468,,,,,,,
31340e6d,,,,,,,
eeef2327,,,,,,,
6593e321,,,,,,,
f81a4438,,,,,,,
2b28f095,,,,,,,
6f21b092,,,,,,,
4aa3367d,,,,,,,
29686294,,,,,,,
b83548e0,,,,,,,
5a6306a1,,,,,,,
ff91849b,,,,,,,
2a55f297,,,,,,,
42250a92,,,,,,,
f08a14bc,,,,,,,
1077529a,,,,,,,
9c1507e2,,,,,,,
cc1cc5b1,,,,,,,
ac1b1b64,,,,,,,
b20541b0,,,,,,,
872f6a40,,,,,,,
06e3aece,,,,,,,
0951fad4,,,,,,,
f5bce7d0,,,,,,,
acad99dd,,,,,,,
fe0148c0,,,,,,,
572bb85f,,,,,,,
f7989c3c,,,,,,,
a87640d6,,,,,,,
fcb05f9e,,,,,,,
d965428d,,,,,,,
5b0d9b59,,,,,,,
079c0700,,,,,,,
14078ccb,,,,,,,
68dddec9,,,,,,,
07d53d89,,,,,,,
b140344d,,,,,,,
d5edc7a6,,,,,,,
6fb2418d,,,,,,,
dc5cd59b,,,,,,,
dd8d4604,,,,,,,
623dcaac,,,,,,,
6ce1208d,,,,,,,
7b5552f3,,,,,,,
0a8b5371,,,,,,,
dd829089,,,,,,,
b6e75df7,,,,,,,
ac531a68,,,,,,,
2407dcc1,,,,,,,
cf780d1a,,,,,,,
de915143,,,,,,,
fea1d8f4,,,,,,,
cc656c3b,,,,,,,
89c523a8,,,,,,,
8397cfe8,,,,,,,
987ab564,,,,,,,
05d0c349,,,,,,,
c2052874,,,,,,,
41e67faa,,,,,,,
785f22e5,,,,,,,
4b05c719,,,,,,,
cd40559b,,,,,,,
9b4f250b,,,,,,,
f83d9af6,,,,,,,
d2e245c7,,,,,,,
95d7abc0,,,,,,,
ad54a093,,,,,,,
3f097ad6,,,,,,,
e0b0eafd,,,,,,,
6797f0c9,,,,,,,
fccba243,,,,,,,
0dcee947,,,,,,,
5a80ce50,,,,,,,
e4561957,,,,,,,
c7cd17f9,,,,,,,
3974e01a,,,,,,,
9fdddac6,,,,,,,
993444d0,,,,,,,
b8458d8c,,,,,,,
6d5a7e2d,,,,,,,
a5f7b630,,,,,,,
6abef1ba,,,,,,,
3a7cf2d2,,,,,,,
983a0488,,,,,,,
94b7c390,,,,,,,
0741c511,,,,,,,
ffaffcde,,,,,,,
69b6399e,,,,,,,
ec75f352,,,,,,,
89d4fa8a,,,,,,,
f2d64275,,,,,,,
fb16d430,,,,,,,
bf1745af,,,,,,,
127f2e97,,,,,,,
9d481aac,,,,,,,
052aa76e,,,,,,,
8b56f279,,,,,,,
65263aa1,,,,,,,
d8b038e2,,,,,,,
770c8832,,,,,,,
56f9980d,,,,,,,
3d1e66d3,,,,,,,
6a3a142b,,,,,,,
ae65e7dd,,,,,,,
9822b9c9,,,,,,,
0e982c96,,,,,,,
830be49f,,,,,,,
17c2ed26,,,,,,,
799ca345,,,,,,,
b83f829b,,,,,,,
6ea369f8,,,,,,,
3a11f5f6,,,,,,,
9414a974,,,,,,,
9406849c,,,,,,,
e542cc80,,,,,,,
63adc3b5,,,,,,,
5b7d45b2,,,,,,,
a6ee7486,,,,,,,
b3ee292a,,,,,,,
92c76492,,,,,,,
e21447a1,,,,,,,
eb6e1a48,,,,,,,
0bac2ea7,,,,,,,
4159594b,,,,,,,
86255c9c,,,,,,,
36b26c2b,,,,,,,
34173f03,,,,,,,
5e7d4b86,,,,,,,
18905f71,,,,,,,
e405fbf0,,,,,,,
97f77ad7,,,,,,,
a64ab917,,,,,,,
5008384d,,,,,,,
491d4c35,,,,,,,
0b1a53b9,,,,,,,
960bfcc7,,,,,,,
0bcceded,,,,,,,
0ce4807b,,,,,,,
a53b37dd,,,,,,,
b20f8a6b,,,,,,,
3f0a1335,,,,,,,
d0be0396,,,,,,,
404ce73d,,,,,,,
69f145b0,,,,,,,
0be527ec,,,,,,,
07f73e9d,,,,,,,
77ad6aad,,,,,,,
3f6abf4f,,,,,,,
27414c33,,,,,,,
9a841791,,,,,,,
b58a44a9,,,,,,,
cd4b0901,,,,,,,
947d369f,,,,,,,
489728a0,,,,,,,
b20800b5,,,,,,,
97641a75,,,,,,,
478a6b9e,,,,,,,
d39fc0af,,,,,,,
01221822,,,,,,,
3f5bfc94,,,,,,,
ca13bb29,,,,,,,
09eefd82,,,,,,,
29cc516c,,,,,,,
4d64d0d9,,,,,,,
e19491b0,,,,,,,
88b94b77,,,,,,,
4cd134d4,,,,,,,
9aa59f66,,,,,,,
7dbdd29e,,,,,,,
66119a97,,,,,,,
46ec7f4b,,,,,,,
70c27855,,,,,,,
06e69054,,,,,,,
ee7bbf38,,,,,,,
fb951f3f,,,,,,,
2a35a7e6,,,,,,,
12ac665d,,,,,,,
fe7d044d,,,,,,,
eb154f64,,,,,,,
b9b78de8,,,,,,,
2847fe59,,,,,,,
c4a7df65,,,,,,,
5b3a88c3,,,,,,,
b71a4d5b,,,,,,,
d603e094,,,,,,,
e17eb060,,,,,,,
9e977399,,,,,,,
372d432f,,,,,,,
4cfece24,,,,,,,
c21126ec,,,,,,,
eda5fc7f,,,,,,,
14f01c49,,,,,,,
ba784824,,,,,,,
49a49e82,,,,,,,
eff80e48,,,,,,,
23fd60e4,,,,,,,
e0407e3d,,,,,,,
fef25073,,,,,,,
9d674387,,,,,,,
c7b84e52,,,,,,,
96ae69d5,,,,,,,
ab51fb39,,,,,,,
c9d2ce7b,,,,,,,
4dcb431b,,,,,,,
438c7f50,,,,,,,
d7f49450,,,,,,,
3059df63,,,,,,,
7f65a2d0,,,,,,,
744abeeb,,,,,,,
49280144,,,,,,,
e808ec87,,,,,,,
284cf118,,,,,,,
ce37f239,,,,,,,
dfdd4dd8,,,,,,,
84efe4b8,,,,,,,
32417cc7,,,,,,,
ad5fb8c6,,,,,,,
c16726cb,,,,,,,
d7e5828e,,,,,,,
da78b9dd,,,,,,,
b31611da,,,,,,,
420f249b,,,,,,,
be29946a,,,,,,,
7237ec5f,,,,,,,
49e5ea30,,,,,,,
e2116135,,,,,,,
d4eec60b,,,,,,,
93c1f6e2,,,,,,,
d720c4b3,,,,,,,
26951d69,,,,,,,
5ca6f532,,,,,,,
a80d18ad,,,,,,,
683808a9,,,,,,,
448775a2,,,,,,,
05a3d69d,,,,,,,
295edea4,,,,,,,
7a4e2edd,,,,,,,
af677d14,,,,,,,
5614fefc,,,,,,,
0b0d8575,,,,,,,
ae3e4a26,,,,,,,
f658bb54,,,,,,,
2c4c0ebb,,,,,,,
5e99bca5,,,,,,,
5c2d8fdf,,,,,,,
4d15980a,,,,,,,
b9896033,,,,,,,
daa4f999,,,,,,,
cf389531,,,,,,,
f70210a2,,,,,,,
3eea6925,,,,,,,
ad3fbaeb,,,,,,,
c90cfca5,,,,,,,
b78c6288,,,,,,,
4eff4fd9,,,,,,,
7e14d88b,,,,,,,
11f7c85d,,,,,,,
d500b911,,,,,,,
3ad58113,,,,,,,
cf53ca72,,,,,,,
860db847,,,,,,,
2f0d1b96,,,,,,,
949954a0,,,,,,,
76c57b1b,,,,,,,
c0f03734,,,,,,,
ce80eeaa,,,,,,,
c50830f6,,,,,,,
8f53ba34,,,,,,,
1fd9aca4,,,,,,,
e5591290,,,,,,,
05af1a5e,,,,,,,
8252d4af,,,,,,,
7ed05c80,,,,,,,
a1d1e49c,,,,,,,
e86aa4c5,,,,,,,
fb2fe0d2,,,,,,,
b1c3b721,,,,,,,
3cc8853c,,,,,,,
df188b5b,,,,,,,
54d38640,,,,,,,
0a2d6858,,,,,,,
